Name,released,ratings,metacritic,esrb
Tony Hawk’s Pro Skater HD,2012-07-18,3.65,,None
A Fistful of Gun,2015-09-23,2.45,60.0,None
Shadwen,2016-05-16,2.93,53.0,Mature
Elements: Soul of Fire,2015-01-12,1.93,,None
F1 2012,2012-09-18,3.88,80.0,None
Road to Ballhalla,2016-08-05,2.78,75.0,Everyone 10+
Forza Horizon 2 Presents Fast & Furious,2015-03-27,3.76,61.0,Everyone 10+
GabeN: The Final Decision,2015-09-21,1.84,,None
Incredipede,2012-10-24,2.61,74.0,Everyone 10+
Borealis,2014-09-02,1.79,,None
Krater,2012-06-12,2.42,52.0,None
Blood and Bacon,2016-02-01,2.99,,None
The Blue Flamingo,2014-11-18,2.16,55.0,None
GUNS UP!,2015-05-19,2.67,,Teen
Kairo,2013-04-24,2.8,76.0,None
GemCraft - Chasing Shadows,2015-04-30,3.48,,None
Sakura Beach 2,2015-11-06,2.93,,None
Steel & Steam: Episode 1,2014-07-16,1.71,,None
The Little Acre,2016-12-12,3.45,62.0,None
Retro/Grade,2012-08-21,2.81,,Everyone 10+
STAR WARS X-Wing vs TIE Fighter - Balance of Power Campaigns,2015-04-28,3.1,,None
Sun Blast: Star Fighter,2015-04-02,1.52,,None
Lumo,2016-05-23,2.58,77.0,Everyone 10+
Sins Of The Demon RPG,2016-05-13,2.2,,None
Pneuma: Breath of Life,2015-02-27,2.92,63.0,None
Broken Dreams,2016-02-19,2.05,,None
Geometry Wars 3: Dimensions Evolved,2014-11-25,3.91,,Everyone
Slash It,2016-12-17,1.73,,None
The Warlock of Firetop Mountain,2016-08-30,2.95,70.0,Teen
Omerta - City of Gangsters,2013-01-31,3.11,48.0,Teen
Overload - Playable Teaser,2016-03-07,2.17,,None
Vindictus,2012-06-22,3.08,76.0,None
The Troma Project,2015-10-28,1.33,,None
Violett Remastered,2013-12-13,2.8,61.0,None
Syder Arcade,2013-10-24,2.46,76.0,None
UnderRail,2015-12-17,3.98,72.0,None
Robotex,2014-11-19,1.4,,None
Head Shot,2016-06-03,1.21,,None
The Town of Light,2016-02-26,3.1,,None
"Pokémon Sun, Moon",2016-11-18,3.83,87.0,None
GunZ 2: The Second Duel,2014-05-01,3.0,,None
Planet Explorers,2016-11-08,2.71,,None
Caveblazers,2016-04-01,3.33,,None
WASTED,2016-06-07,2.3,68.0,None
Munin,2014-06-10,2.61,68.0,None
Heli Heroes,2013-11-01,1.6,,None
TOKYO JUNGLE,2012-06-07,3.57,74.0,Teen
Loot Hero DX,2015-07-03,2.32,,None
Bloodbath Kavkaz,2015-04-20,2.62,,Adults Only
WARMODE,2015-08-25,2.03,,None
DarkEnd,2014-10-17,1.69,,None
Corporate Lifestyle Simulator,2014-03-12,2.55,,None
Puddle,2012-01-25,2.76,70.0,None
Make it indie!,2015-04-01,1.86,,None
Deadly 30,2014-01-08,2.81,,None
Endless Sky,2015-09-17,2.52,,None
Space Pilgrim Episode III: Delta Pavonis,2016-02-04,1.89,,None
Neon Hardcorps,2016-05-30,1.76,,None
TrackMania² Stadium,2013-06-20,4.2,77.0,None
ROCKETSROCKETSROCKETS,2015-05-01,2.53,,None
RIDGE RACER Unbounded,2012-03-27,3.1,72.0,None
Bloons TD Battles,2013-07-18,3.11,,None
The Journey Down: Chapter Two,2014-08-25,3.3,78.0,None
Basement,2015-04-30,3.3,,None
Epic Battle Fantasy 4,2014-02-25,3.1,,None
Sixtieth Kilometer,2016-08-25,2.29,,None
Plants vs. Zombies Garden Warfare 2,2016-02-23,3.61,,Everyone 10+
Valhalla Hills,2015-12-01,2.42,69.0,Teen
Crush Crush,2016-10-18,3.17,,None
TRANSFORMERS: Fall of Cybertron,2012-08-21,3.82,78.0,Teen
Terrorhedron,2014-07-24,1.96,,None
Dynamite Jack,2012-05-10,2.7,,None
Data Hacker: Reboot,2015-04-17,1.71,,None
Ballpoint Universe - Infinite,2013-05-10,2.69,,None
Sniper Elite: Nazi Zombie Army,2013-02-28,3.4,62.0,None
The Next Door,2016-03-22,1.57,,None
Cargo Commander,2012-11-01,3.18,,None
Defend Your Life: TD,2015-04-10,2.88,,None
DEADBOLT,2016-03-13,3.78,76.0,None
MIND: Path to Thalamus Enhanced Edition,2014-08-05,3.18,75.0,None
Cubicle Quest,2015-02-25,2.05,,None
Anoxemia,2015-01-16,2.37,,Mature
Deadfall Adventures,2013-11-14,2.56,53.0,Mature
Carrier Command: Gaea Mission,2012-09-28,2.27,53.0,Mature
Depression Quest,2014-08-11,2.44,,None
Dead Island: Riptide Definitive Edition,2016-05-31,3.57,,Adults Only
Uriel's Chasm 2: את,2015-11-13,1.84,,None
Moirai,2016-07-22,3.56,,None
DreadOut: Keepers of The Dark,2016-03-24,3.05,,None
Red Risk,2016-03-04,1.68,,None
Space Hulk,2013-08-15,2.87,58.0,Teen
Nom Nom Galaxy,2015-05-12,2.49,,Everyone 10+
Guilty Gear Xrd -REVELATOR,2016-05-26,4.38,,Teen
Decay: The Mare,2015-02-13,2.85,60.0,None
Syndicate (2012),2012-02-21,3.58,73.0,Mature
Grave Prosperity: Redux- part 1,2015-04-17,1.7,,None
Among Ripples,2015-01-22,1.97,,None
Velvet Sundown,2014-07-22,1.73,,Adults Only
8BitMMO,2015-01-26,1.92,,None
Retention,2015-01-13,1.47,,None
Motorsport Manager,2014-08-21,3.82,81.0,Everyone 10+
Bleed,2012-12-12,3.52,,Teen
Infinity Wars: Animated Trading Card Game,2014-02-12,2.46,,None
STASIS,2015-08-30,3.6,79.0,Mature
Valley,2016-08-23,3.65,,None
Randal's Monday,2014-11-11,3.62,57.0,None
Ragnarok Online 2,2013-05-01,2.26,,None
SEUM: Speedrunners from Hell,2016-07-27,3.73,,Teen
Reversion - The Escape (1st Chapter),2014-06-10,1.87,,None
Fork Parker's Holiday Profit Hike,2014-12-18,2.06,,None
Halo: Spartan Strike,2015-04-16,3.28,,Teen
Sonic Lost World,2013-10-18,2.93,60.0,Everyone 10+
DG2: Defense Grid 2,2014-09-23,3.15,81.0,None
Bigscreen Beta,2016-04-28,3.78,,None
Cosmic Dust & Rust,2016-05-17,2.0,,None
Valdis Story: Abyssal City,2013-09-07,3.22,83.0,None
Huntsman: The Orphanage (Halloween Edition),2013-09-13,2.06,,None
Jet Gunner,2014-08-04,1.85,,None
Mitsurugi Kamui Hikae,2014-03-09,2.8,,None
The Chosen RPG,2016-02-04,2.0,,Adults Only
Broadsword: Age of Chivalry,2015-05-15,1.92,,None
Battle Ranch: Pigs vs Plants,2015-02-02,1.62,,None
Soda Dungeon,2015-10-08,3.18,,None
"I, Zombie",2014-12-08,2.71,65.0,None
Primal Carnage,2012-10-29,3.03,67.0,None
Hook,2015-07-06,3.51,,Everyone
Unit 13,2012-03-06,2.84,,Teen
Job Simulator,2016-04-05,3.89,68.0,Everyone 10+
Silence of the Sleep,2014-10-01,2.9,66.0,None
Battle Islands,2013-12-12,2.2,,Teen
Prime World: Defenders,2013-06-05,3.4,58.0,Everyone
Yakuza 5,2012-12-06,4.39,83.0,Mature
The Shivah,2013-08-14,3.17,,None
Tabletopia,2016-11-30,2.74,,Teen
Aperture Tag: The Paint Gun Testing Initiative,2014-07-15,3.82,,None
Guardians of Victoria,2016-04-29,2.0,,None
Nightmares from the Deep: The Cursed Heart,2012-04-18,3.38,58.0,Teen
Holodrive,2016-03-24,2.35,,None
Dead Synchronicity: Tomorrow Comes Today,2015-04-09,3.26,70.0,None
bit Dungeon II,2014-12-15,3.07,,None
the static speaks my name,2015-08-10,3.24,,None
Ultimate General: Gettysburg,2014-09-23,2.2,84.0,Everyone 10+
Space Pilgrim Episode IV: Sol,2016-03-04,1.88,,None
Flat Heroes,2016-09-08,3.33,82.0,Everyone
ICEY,2016-11-17,3.4,84.0,None
Neverending Nightmares,2014-09-25,3.17,68.0,Teen
12 Labours of Hercules III: Girl Power,2015-08-07,2.65,,None
A grande bagunça espacial - The big space mess,2016-04-05,1.5,,None
Analogue: A Hate Story,2012-02-01,3.69,62.0,None
Blood Bowl 2,2015-09-22,3.42,76.0,Teen
Tea Party Simulator 2015,2015-04-23,1.61,,None
Roundabout,2014-09-18,3.05,75.0,Mature
Marooners,2016-09-15,2.8,,None
60 Seconds!,2015-05-25,3.53,63.0,Everyone 10+
Dragons and Titans,2014-03-12,1.4,43.0,None
Killing Floor - Toy Master,2014-10-16,3.08,,None
Demonicon,2013-10-24,2.89,,None
Solar Flux,2013-10-24,2.17,,None
Cataegis: The White Wind,2015-09-25,1.86,,None
Of Guards And Thieves,2014-07-16,2.5,,None
In Between,2015-08-21,2.45,68.0,None
Sigils of Elohim,2014-10-13,3.27,,None
Outrage,2016-04-06,2.05,,None
Five Nights at Freddy's: Sister Location,2016-10-07,2.93,62.0,Teen
Port Royale 3,2012-05-04,3.0,55.0,Teen
Masked Shooters 2,2016-01-14,1.38,,None
Marvel Puzzle Quest,2013-10-03,3.0,,None
Dungeon of Zolthan,2016-05-11,1.95,,None
Retro Game Crunch,2014-05-19,2.76,,None
Super Space Pug,2016-06-04,2.0,,None
Space Run,2014-06-13,3.17,73.0,Everyone 10+
Tiger Knight: Empire War,2016-10-24,2.97,,None
Super Mega Baseball: Extra Innings,2015-08-14,3.02,,None
Elements II: Hearts of Light,2016-04-01,1.67,,None
Star Drifter,2016-06-01,1.71,,None
Cognition: An Erica Reed Thriller,2013-01-30,3.67,,None
Final Exam,2013-09-04,2.88,66.0,None
AirMech Arena,2014-07-30,2.66,,Everyone 10+
Calcu-Late,2016-03-18,1.7,,None
Godot Engine,2016-02-23,3.38,,None
TEKKEN TAG TOURNAMENT 2,2012-09-11,4.03,,Teen
Conflict Desert Storm,2012-05-28,3.0,56.0,None
Spaceport Hope,2016-04-15,1.76,,None
Nether: Resurrected,2014-06-05,1.82,57.0,None
Steredenn,2015-10-01,3.22,,Everyone 10+
Nexuiz,2012-05-10,2.66,54.0,None
Teddy Floppy Ear - Mountain Adventure,2013-01-28,1.73,,Everyone 10+
The Last Tinker: City of Colors,2014-05-11,2.84,72.0,None
Pox Nora,2014-10-15,2.24,,Teen
A Detective's Novel,2016-07-28,1.96,,None
Disgaea PC,2016-02-24,3.87,74.0,None
Knights of Pen and Paper 2,2015-05-13,3.83,,Teen
Who's Your Daddy,2016-05-13,2.7,,None
Despair,2015-05-12,1.5,,None
Guild of Dungeoneering,2015-07-13,3.57,72.0,None
Meadow,2016-10-26,3.3,,None
Moto Racer 4,2016-10-13,2.62,,None
Project Druid - 2D Labyrinth Explorer,2015-07-30,1.88,,None
"Pokémon Alpha Sapphire, Omega Ruby",2014-11-21,4.18,83.0,Everyone
See No Evil,2014-08-25,2.52,,None
Desert Thunder,2014-03-19,1.82,,None
Expeditions: Conquistador,2013-05-30,3.26,77.0,None
Medal of Honor: Warfighter,2012-10-23,3.01,54.0,Mature
Wargame: Airland Battle,2013-05-23,3.43,80.0,None
Gravity Badgers,2013-11-28,1.8,,Everyone 10+
Energy Cycle,2016-01-13,1.55,,Everyone
The Legend of Korra,2014-10-21,3.3,,Teen
Heckabomb,2015-02-27,1.5,,None
Incitement 3,2015-08-19,2.12,,None
Purgatory,2016-06-22,1.95,,None
Freedom Wars,2014-06-26,3.16,,Teen
CT Special Forces: Fire for Effect,2014-03-13,1.89,,None
Spoiler Alert,2014-01-10,2.83,,Everyone 10+
Space Run Galaxy,2016-06-17,2.24,75.0,None
Skara - The Blade Remains,2014-10-27,1.8,,None
The Amazing Spider-Man,2012-06-26,3.31,64.0,Teen
Insincere,2016-05-12,1.94,,None
Guilty Gear Xrd -SIGN,2014-12-04,4.02,84.0,Teen
The Tower Of Elements,2015-08-05,1.67,,None
Romance of the Three Kingdoms Maker / 三国志ツクール,2015-12-09,1.96,,None
Jagged Alliance - Back in Action,2012-02-08,2.55,62.0,None
The Room Three,2015-11-04,4.29,90.0,None
LiEat,2016-02-25,2.88,,None
The Dark Stone from Mebara,2015-02-27,2.25,,None
Thunder Wolves,2013-05-01,2.52,69.0,None
Batman: Arkham VR,2016-10-11,3.98,74.0,Mature
Millennium - A New Hope,2014-04-25,2.06,,None
Amnesia: Memories,2015-08-24,3.2,,None
Teddy Floppy Ear - Kayaking,2013-03-28,2.0,,Everyone 10+
All Guns On Deck,2015-08-28,1.12,,None
Dungeon Hearts,2013-03-28,2.48,73.0,None
Unholy Heights,2013-08-15,2.59,,Teen
MirrorMoon EP,2013-09-04,2.74,73.0,None
"Hack, Slash, Loot",2012-01-23,2.09,,Everyone 10+
Microsoft Flight Simulator X,2014-12-18,3.61,,None
Game Tycoon 1.5,2014-02-11,2.17,,None
Tap Heroes,2015-06-05,2.36,,None
Speedball 2 HD,2013-12-04,2.27,53.0,Everyone 10+
Ring Runner: Flight of the Sages,2013-07-08,2.64,75.0,None
POSTAL Redux,2016-05-20,3.16,54.0,None
AI: Rampage,2016-01-27,1.78,,None
The Forgotten Ones,2014-07-16,1.43,,None
Aveyond 3-2: Gates of Night,2014-04-18,1.6,,None
PulseCharge,2016-01-27,1.86,,None
BlazeRush,2014-10-28,3.64,66.0,None
Eurofighter Typhoon,2014-05-02,2.12,69.0,None
Survivor Squad,2015-01-21,2.86,,None
NEKOPARA Vol. 2,2016-02-19,3.7,,None
Assassin’s Creed Chronicles: India,2016-01-12,3.28,63.0,Teen
ARCADE GAME SERIES: PAC-MAN,2016-04-19,3.57,,None
King Oddball,2012-09-27,2.64,,Everyone 10+
Plantera,2016-01-28,2.51,,Everyone 10+
Enemy Front,2014-05-01,2.7,52.0,None
Dracula: The Resurrection,2014-04-17,2.88,67.0,None
Gunspell,2014-11-07,2.65,,None
//N.P.P.D. RUSH//- The milk of Ultraviolet,2014-02-13,1.64,,Teen
Top Trumps Turbo,2015-03-20,1.17,,None
Death Road to Canada,2016-07-20,3.76,91.0,None
Switch Galaxy Ultra,2014-12-17,2.45,,Everyone 10+
Age of Conan: Unchained,2013-02-22,2.48,,None
Teddy Floppy Ear - The Race,2015-05-22,2.06,,None
Sparkle 2,2013-06-06,2.97,,None
Might & Magic X - Legacy,2014-01-22,3.22,70.0,None
Dwarfs - F2P,2012-10-18,2.07,,None
RISK: Global Domination,2015-12-03,3.34,,None
Neon Drive,2015-11-05,3.37,,None
Ichi,2012-06-06,2.9,,Everyone 10+
Trials Evolution,2012-04-18,4.13,,Everyone 10+
Fairy Bloom Freesia,2012-10-16,3.07,,None
Iron Sky: Invasion,2012-11-30,1.85,,None
KAMI,2013-10-10,3.44,,Everyone 10+
Boid,2016-07-08,1.78,,None
House of Caravan,2015-04-16,2.0,,None
Get Off My Lawn!,2014-11-11,2.14,,None
ShellShock Live,2015-03-11,3.89,,None
The Detail,2014-10-28,2.53,77.0,Adults Only
Diaries of a Spaceport Janitor,2016-09-16,3.32,69.0,None
Marlow Briggs and the Mask of Death,2013-09-20,3.22,,None
Blood Knights,2013-06-26,2.57,,None
Carpe Diem,2015-11-30,2.53,,None
Shadowgate,2014-08-20,3.54,65.0,None
Dungeon Punks,2016-07-26,2.0,,Everyone 10+
fault - milestone two side:above,2015-09-07,3.11,,None
Elite Dangerous: Arena,2016-02-16,2.63,,None
Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2,2015-05-29,3.45,,None
Futuridium EP Deluxe,2014-09-30,1.96,,Everyone 10+
Wickland,2015-02-06,2.33,,None
KARAKARA,2016-06-27,3.26,,None
Alchemy Mysteries: Prague Legends,2014-12-22,2.34,,None
Sweet Lily Dreams,2014-05-16,1.8,,None
NEO Scavenger,2014-12-14,3.92,77.0,None
Miasmata,2012-11-27,2.8,76.0,None
Here They Lie,2016-10-13,2.71,62.0,Mature
Dungeon Souls,2016-12-01,2.97,67.0,Teen
Dungeons & Dragons: Chronicles of Mystara,2013-06-18,3.37,,Teen
The SKIES,2016-04-16,2.2,,None
Cubic Castles,2014-08-13,2.32,,None
Finding Teddy,2013-02-08,2.96,,Everyone 10+
THOTH,2016-10-07,3.45,,Everyone
DRAGON QUEST BUILDERS,2016-01-28,3.98,82.0,Everyone 10+
Lost Moon,2015-09-28,1.7,,None
The Guild Gold Edition,2014-09-09,3.63,82.0,None
Princess Remedy in a World of Hurt,2016-01-01,2.96,,None
Rabiez: Epidemic,2016-03-04,1.82,,None
The Magic Circle,2015-07-09,3.4,79.0,None
Learn Japanese To Survive! Hiragana Battle,2016-02-16,2.89,,None
Bell Ringer,2016-03-18,1.69,,None
CRACKHEAD,2016-11-10,1.93,,None
Dustforce,2012-01-17,3.1,,Everyone 10+
RPG MO,2015-08-18,2.48,,None
Heavy Bullets,2014-09-18,3.44,72.0,None
Godus,2013-09-13,2.68,,Everyone 10+
Ace Of Words,2015-12-26,1.88,,Everyone 10+
"Guns, Gore & Cannoli",2015-04-29,3.72,74.0,None
Woah Dave!,2014-10-30,2.07,,Everyone 10+
Rez Infinite,2016-10-13,4.23,91.0,Everyone 10+
7 Grand Steps: What Ancients Begat,2013-06-07,1.61,,None
Mutant Mudds Deluxe,2013-06-13,3.28,,Everyone 10+
Continent of the Ninth Seal,2012-09-13,2.33,,None
Cubemen,2012-03-16,2.71,74.0,None
Cibele,2015-11-02,2.43,71.0,Adults Only
Bulb Boy,2015-10-28,3.1,84.0,None
International Snooker,2014-05-30,2.23,,None
Interstellar Marines,2013-07-02,2.49,,None
Grim Legends: The Forsaken Bride,2014-02-24,3.54,,Teen
We Are The Dwarves,2016-02-19,2.6,60.0,None
SolForge,2012-12-18,2.61,,Everyone 10+
Eon Altar,2016-06-22,3.25,,None
God Mode,2013-04-19,2.96,58.0,Adults Only
Five Nights at Freddy's 2,2014-11-10,3.11,62.0,None
Circuits,2014-04-17,3.13,,None
Unknown Battle,2016-03-14,1.42,,None
Kingdom Wars,2013-04-01,2.25,,None
Zombie Zoeds,2015-05-20,1.59,,None
Mind Spheres,2016-07-08,1.82,,None
DARK,2013-06-07,2.34,41.0,None
The Legend of Zelda: The Wind Waker HD,2013-08-08,4.57,90.0,None
Assassin’s Creed Chronicles: Russia,2016-02-09,3.1,58.0,Teen
Hide and Shriek,2016-10-25,2.82,68.0,None
Glass Masquerade,2016-11-18,4.03,,None
Slingshot people,2016-10-21,1.57,,None
Metrico+,2016-08-23,2.39,66.0,Everyone
Saturday Morning RPG,2014-01-29,3.29,,None
Chronology,2014-05-11,3.28,70.0,None
Burgers,2015-09-03,2.05,,None
Kung Fury: Street Rage,2015-05-28,3.49,,None
Robowars,2014-10-24,2.46,,None
One Troll Army,2016-05-19,2.93,,None
Storm Of Spears RPG,2016-06-17,2.17,,None
Super Trench Attack!,2013-09-05,2.65,,None
Showtime!,2014-05-23,2.58,,None
Mad Games Tycoon,2016-09-12,3.74,,Everyone
Blameless,2016-10-13,2.14,,None
Energy Balance,2015-07-02,1.75,,Everyone 10+
The Four Kings Casino and Slots,2015-06-01,2.76,,None
The Way,2016-05-19,3.47,67.0,None
Hover: Revolt Of Gamers,2015-04-06,2.78,69.0,Everyone
Prime World,2014-03-31,2.45,65.0,None
Swipecart,2014-05-08,2.11,,None
Unmechanical,2012-08-08,3.8,74.0,Everyone 10+
Eterium,2014-04-15,1.5,,None
Closers,2014-12-30,3.19,,None
The Legend of Zelda: Majora's Mask 3D,2015-02-13,4.37,89.0,None
Flame Over,2015-03-10,2.16,,Everyone 10+
Microsoft Solitaire Collection,2016-11-23,3.23,,None
Sleeping Valley,2016-10-08,1.69,,None
Odin Sphere Leifthrasir,2016-01-14,4.25,90.0,Teen
Dracula's Legacy,2015-10-22,2.5,,Teen
Animal Crossing: New Leaf,2012-11-08,4.38,88.0,Everyone
Clickteam Fusion 2.5,2013-12-05,2.69,,None
Godus Wars,2016-02-03,2.58,,None
Replica,2016-07-11,3.65,,Teen
DRAGON: A Game About a Dragon,2015-04-24,2.06,,None
Severed,2016-04-26,3.81,,None
AdVenture Communist,2016-08-23,2.67,,None
F1 2013,2013-10-03,3.15,78.0,Everyone 10+
Donkey Kong Country: Tropical Freeze,2014-02-13,4.38,84.0,Everyone
Forbidden planet,2016-01-11,1.55,,None
Sniper Elite: Nazi Zombie Army 2,2013-10-30,3.18,53.0,None
The Last Hope,2016-08-29,1.55,,None
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3,2013-03-05,3.82,,Teen
Girls Like Robots,2012-10-11,2.35,,Everyone 10+
Amazing World,2014-08-07,1.29,,None
Spin Rush,2016-09-16,1.79,,None
Blue Estate,2014-06-24,3.48,59.0,None
Bardbarian,2014-01-16,3.27,,None
Big Pharma,2015-08-26,3.44,72.0,None
Sentinels of the Multiverse,2014-10-15,3.08,,None
Neon Space 2,2016-07-26,1.71,,None
Hot Tin Roof: The Cat That Wore A Fedora,2015-02-19,2.0,66.0,None
Zup!,2016-10-04,2.18,,None
Curses 'N Chaos,2015-08-18,2.48,,Everyone 10+
Batman - The Telltale Series - Episode 1: Realm of Shadows,2016-08-02,3.52,,None
Montaro,2016-07-25,3.11,,None
Red Crucible: Firestorm,2015-12-22,2.05,,None
Simply Chess,2015-09-11,2.9,,None
Garfield Kart,2013-11-01,3.0,,None
Trials of the Blood Dragon,2016-06-13,3.39,54.0,Teen
Planet of the Eyes,2015-08-24,2.88,66.0,None
Neon Prism,2016-11-18,1.95,,None
Mario Kart 8,2014-05-29,4.37,88.0,Everyone
Quest of Dungeons,2014-02-28,3.19,,Everyone 10+
Realms of Arkania: Blade of Destiny,2013-07-29,2.27,,Teen
Neon Space,2016-05-12,1.75,,None
Sunrider Academy,2015-04-15,3.52,,None
Rainbow Moon,2012-07-04,2.66,,Everyone 10+
Destination Sol,2015-02-05,2.72,,None
Scribblenauts Unmasked: A DC Comics Adventure,2013-09-24,3.48,68.0,None
Resonance,2012-06-18,3.76,76.0,None
Monstrum,2015-05-19,3.06,,Mature
Survivalist,2015-01-30,2.36,,None
Stronghold 3 Gold,2012-05-25,2.94,,None
Alien Shooter 2 Conscription,2012-05-18,3.62,,None
Guardians of Orion,2015-12-01,2.63,,None
Strike Suit Infinity,2013-04-30,2.94,66.0,None
Coin Crypt,2014-10-28,2.95,,None
So Many Me,2014-07-17,2.94,78.0,Everyone
Tekken Revolution,2013-06-11,3.23,,None
rain,2013-06-05,3.55,,Everyone 10+
Tiny Troopers,2012-06-06,2.61,57.0,Teen
The Original Strife: Veteran Edition,2014-12-12,3.57,,None
Total War Battles: KINGDOM,2015-04-09,1.68,67.0,Teen
Arizona Sunshine,2016-12-06,3.82,81.0,Adults Only
Knight Squad,2015-11-16,3.26,,Everyone 10+
Lilly Looking Through,2013-10-31,3.31,71.0,None
Fallout: New Vegas - Ultimate Edition,2012-02-07,4.43,,None
Ninja Senki DX,2016-02-23,2.54,72.0,Everyone 10+
Pixel Puzzles 2: Space,2016-02-19,2.19,,None
Chronicle: RuneScape Legends,2016-05-26,2.73,76.0,None
Master of Orion,2016-02-26,3.42,74.0,None
Hero of the Kingdom II,2015-02-20,3.49,,None
Hero Quest: Tower Conflict,2016-04-13,1.46,,None
Cat on a Diet,2013-09-26,2.35,,Everyone 10+
Defender's Quest: Valley of the Forgotten DX,2012-01-20,3.78,,Teen
Stikbold! A Dodgeball Adventure,2016-04-01,2.8,,None
Lowglow,2015-12-03,2.2,,None
Super Splatters,2013-06-26,2.67,73.0,None
Frozen Hearth,2012-11-29,2.06,,None
Flashback (2013),2013-08-21,3.11,,None
Battleplan: American Civil War,2014-07-04,1.77,66.0,None
Kidnapped,2015-08-04,1.6,,None
Sproggiwood,2014-10-24,2.81,,None
Lexica,2014-07-04,2.18,,None
Mini Motor Racing EVO,2013-05-01,3.11,,None
Shiftlings,2015-03-03,2.38,70.0,Teen
Out There: Omega Edition,2014-02-27,3.74,80.0,None
Games of Glory,2015-05-26,2.0,,None
Alter World,2015-05-29,1.79,,None
Eastside Hockey Manager,2015-12-01,1.54,,None
Shattered Planet,2014-07-03,3.24,,None
ARCADE GAME SERIES: GALAGA,2016-04-19,3.85,,None
Art of War: Red Tides,2016-12-22,2.4,,None
Rollers of the Realm,2014-11-18,2.94,68.0,Teen
TEMBO THE BADASS ELEPHANT,2015-07-21,3.35,,None
Convoy,2015-04-20,3.2,72.0,None
Bloop Reloaded,2015-02-06,1.36,,None
Toren,2015-05-11,2.79,57.0,None
Rituals,2015-05-27,2.36,,None
Bad Hotel,2012-08-14,1.7,,Everyone 10+
SPACE HULK ASCENSION,2014-11-12,2.87,72.0,Teen
The Book of Unwritten Tales 2,2015-02-20,3.1,80.0,Teen
Jones On Fire,2015-03-27,2.05,,Everyone 10+
Grow Up,2016-08-16,3.76,71.0,None
Bloody Trapland,2013-11-18,3.47,,None
MapleStory,2012-08-09,3.19,,None
Ruzh Delta Z,2015-05-11,1.78,,None
Disciples III: Reincarnation,2014-02-14,3.52,,None
TIMEframe,2015-07-07,2.56,,None
LOVE,2014-02-07,3.75,,Everyone
Aarklash: Legacy,2013-09-11,2.88,72.0,None
AR-K,2014-07-21,2.67,,None
Lucius II,2015-02-13,2.76,48.0,None
Scourge: Outbreak,2013-05-28,2.71,40.0,Mature
Spikit,2016-08-09,1.62,,None
Crashlands,2016-01-20,3.73,78.0,None
Shot Shot Tactic,2016-12-01,1.2,,None
Blaster Shooter GunGuy!,2015-08-10,1.67,,None
Yesterday Origins,2016-10-13,3.58,74.0,Mature
Pokémon GO,2016-07-07,3.63,,None
Flight of the Paladin,2015-10-23,2.0,,None
Project CARS - Pagani Edition,2016-10-28,3.72,,None
Drayt Empire,2016-07-16,1.88,,None
Stigmat,2015-09-29,2.29,,None
Survive in Space,2016-05-20,1.9,,None
Pool Nation FX,2015-04-01,2.65,,None
Surfingers,2016-01-06,1.67,,Everyone 10+
Red Lake,2015-03-25,1.89,,None
Danganronpa Another Episode: Ultra Despair Girls,2014-09-25,3.8,70.0,Mature
Rise to Ruins,2014-10-27,3.79,,None
Escape This,2016-05-04,1.53,,None
Color Guardians,2015-05-12,2.33,,Everyone 10+
Deep Space Dash,2016-07-07,1.77,,None
Fly and Destroy,2016-07-29,1.94,,None
Necropolis,2016-07-12,3.14,,None
My Lands: Black Gem Hunting,2014-09-16,1.69,,None
Waltz of the Wizard,2016-05-31,3.05,,None
Livelock,2016-08-30,2.9,73.0,Teen
Rock 'N' Roll Defense,2016-08-10,2.56,,None
Enforcer: Police Crime Action,2014-10-24,1.86,,Adults Only
Plazma Being,2015-02-09,2.17,,None
Miscreated,2014-10-30,3.15,,None
Hunger Dungeon,2016-12-06,2.59,,None
Boson X,2013-09-26,3.22,,Everyone 10+
Let's Draw,2016-12-30,1.56,,None
Charlie Murder,2013-06-04,3.06,,Mature
Rebuild 3: Gangs of Deadsville,2015-05-28,3.19,75.0,None
Fire Emblem Awakening,2012-04-19,4.39,92.0,None
Chaos Reborn,2015-10-25,2.62,85.0,None
Dracula 4 and 5 - Special,2014-05-29,2.2,,None
The Count Lucanor,2016-03-02,3.7,78.0,Teen
The Deer God,2015-02-27,2.62,59.0,Everyone 10+
ARCADE GAME SERIES: DIG DUG,2016-04-19,3.59,,None
BLACKHOLE,2015-02-27,2.24,82.0,None
Tales from the Borderlands - Episode One: Zer0 Sum,2014-11-25,3.93,,Mature
404Sight,2015-04-16,2.28,,None
BeamNG.drive,2015-05-29,4.25,,Everyone 10+
Jack Orlando: Director's Cut,2013-10-04,2.53,,None
Tiny Troopers Joint Ops,2014-07-10,2.33,,Teen
Letter Quest: Remastered,2016-09-08,2.85,,None
Spheroid,2015-08-31,1.31,,None
SpellForce 2 - Demons of the Past,2014-01-16,3.04,,None
FOTONICA,2014-09-11,3.46,71.0,Everyone 10+
Squirbs,2016-01-06,1.5,,None
Aliens: Colonial Marines,2013-02-11,2.74,,Mature
Yury,2014-12-09,1.67,,None
3on3 FreeStyle,2016-12-06,2.54,,Everyone 10+
Master Reboot,2013-10-29,2.25,59.0,Teen
